"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Апрель 2006"	7507.9	6333.4	22.7	509.7	642.1	""
"Май 2006"	7855.9	6663.4	18.3	554.9	619.2	""
"Июнь 2006"	8277.2	7057.2	20.5	585.3	614.2	""
"Июль 2006"	8383.0	7199.6	23.4	551.8	608.2	""
"Август 2006"	8545.5	7417.4	24.4	504.2	599.4	""
"Сентябрь 2006"	8878.4	7727.1	30.0	520.7	600.5	""
"Октябрь 2006"	8952.1	7743.4	24.3	579.1	605.3	""
"Ноябрь 2006"	9201.9	7974.4	23.5	601.3	602.8	""
"Декабрь 2006"	10126.7	8970.7	16.0	525.6	614.4	""
"Январь 2007"	9886.8	8674.9	17.9	580.9	613.1	""
"Февраль 2007"	10155.6	8873.4	24.3	647.0	610.9	""
"Март 2007"	10872.8	9381.7	20.5	856.0	614.7	""
"Апрель 2007"	11161.0	9964.3	22.7	567.8	606.2	""
"Май 2007"	11875.2	10673.0	26.5	569.8	606.0	""
"Июнь 2007"	12011.7	10827.4	21.3	554.4	608.6	""
"Июль 2007"	12060.4	10888.4	19.7	542.0	610.3	""
"Август 2007"	12340.2	11128.5	17.7	577.7	616.2	""
"Сентябрь 2007"	12675.3	11461.8	20.3	589.5	603.8	""
"Октябрь 2007"	12669.9	11382.2	18.3	660.6	608.7	""
"Ноябрь 2007"	13107.3	11756.0	20.3	715.4	615.6	""
"Декабрь 2007"	14288.7	12869.0	18.5	699.9	648.7	52.6
"Январь 2008"	14019.4	12509.7	19.2	780.9	659.4	50.3
"Февраль 2008"	14305.6	12662.9	11.9	903.1	678.4	49.2
"Март 2008"	14572.3	12973.8	18.5	841.0	688.5	50.5
"Апрель 2008"	14511.8	12944.4	15.3	798.9	701.6	51.7
"Май 2008"	15052.3	13312.8	12.8	893.7	781.8	51.2
"Июнь 2008"	15597.0	13841.2	17.5	921.1	765.4	51.7
"Июль 2008"	15448.7	13842.6	13.2	782.2	768.8	41.8
"Август 2008"	15920.4	14196.6	12.6	879.9	789.1	42.2
"Сентябрь 2008"	15802.4	14045.7	13.9	890.6	810.2	42.1
"Октябрь 2008"	15189.5	13173.1	28.4	1047.3	903.9	36.8
"Ноябрь 2008"	15093.5	12839.2	44.4	1098.3	1077.8	33.9
"Декабрь 2008"	16307.6	12975.9	77.8	1674.8	1548.3	30.9
"Январь 2009"	15891.0	11430.9	158.8	2229.5	2044.0	27.8
"Февраль 2009"	15902.2	11465.2	122.8	2207.9	2080.1	26.2
"Март 2009"	15842.2	11581.6	115.2	2104.0	2009.6	31.8
"Апрель 2009"	15901.6	11838.7	121.6	1959.6	1952.3	29.5
"Май 2009"	16114.4	12331.6	95.3	1805.7	1853.3	28.5
"Июнь 2009"	16607.5	12650.5	96.5	1956.2	1876.7	27.6
"Июль 2009"	16760.8	12618.1	104.9	2069.6	1938.2	30.0
"Август 2009"	16947.7	12797.3	103.2	2037.8	1981.0	28.5
"Сентябрь 2009"	17031.6	13101.9	90.3	1877.2	1935.1	27.1
"Октябрь 2009"	17151.1	13376.9	83.0	1791.9	1877.0	22.2
"Ноябрь 2009"	17685.4	13713.3	91.4	1939.5	1919.0	22.1
"Декабрь 2009"	19131.5	15267.6	77.9	1815.7	1934.7	35.7
"Январь 2010"	18849.5	14904.1	73.5	1911.4	1928.2	32.3
"Февраль 2010"	19124.6	15236.4	66.8	1924.9	1865.9	30.6
"Март 2010"	19340.9	15639.4	61.8	1803.4	1805.2	31.1
"Апрель 2010"	19740.8	16098.6	55.4	1788.9	1766.2	31.7
"Май 2010"	20137.5	16470.6	51.0	1843.3	1739.9	32.7
"Июнь 2010"	20590.4	16900.9	54.3	1831.8	1770.2	33.2
"Июль 2010"	20803.3	17063.3	51.8	1882.7	1772.2	33.3
"Август 2010"	21024.8	17437.7	49.3	1727.5	1777.7	32.7
"Сентябрь 2010"	21348.7	17690.2	60.3	1744.9	1823.2	30.1
"Октябрь 2010"	21546.0	17848.3	53.9	1735.3	1879.4	29.0
"Ноябрь 2010"	22146.2	18264.9	49.2	1930.9	1872.6	28.5
"Декабрь 2010"	23820.7	20011.9	48.5	1875.7	1855.1	29.5
"Январь 2011"	23181.4	19307.7	41.8	1957.4	1846.3	28.2
